Band,Part 1 Topic 1,Part 1 Questions 1,Part 1 Topic 2,Part 1 Questions 2,Part 1 Topic 3,Part 1 Questions 3,Part 2,Part 3 Topic 1,Part 3 Questions 1,Part 3 Topic 2,Part 3 Questions 2,Fluency and coherence,Lexical resource,Grammatical range and accuracy,Pronunciation
Band 8.5,Hometown,"What do you like most about your hometown?
Has your hometown changed over the last few years?
Are there any special places in your hometown that visitors should see?
Would you recommend your town to others?",Accommodation,"Do you live in a house or an apartment?
What do you like about your home?
Is there anything you would like to change about your house/apartment?
Do you prefer living in a house or an apartment?",-,-,"""Describe a book you recently read and enjoyed.

You should say:

what the book was about
who recommended it to you
why you decided to read it
and explain what you liked about this book.""",Books and reading,"How important is reading for personal development?
Do you think young people today read more books or less than previous generations?
Do you prefer reading online or reading hard copies?
What do you think are some of the advantages of reading e-book?
Do you think schools and universities should encourage students to read more books?",-,-,8,9,8,9
Band 7,Friends,"Who is your best friend?
Are you still friends with people from your childhood?
Do you prefer spending time with family or friend?",Television Programs,"Where do you usually watch TV programmes or shows?
What is your favorite TV program or show?
Do you think you will watch more or fewer TV programs in the future?",Age,"Are you happy to be the age you are now?
When you were a child, did you think a lot about your future?
Do you think you have changed as you have got older?","""Describe a time when you started using a new technological device (e.g., a new computer or phone).

You should say:

what device you started using
why you started using this device
how easy or difficult it was to use
and explain how helpful this device was to you.""",Technology and Education,"What is the best age for children to start computer lessons?
Do you think that schools should use more technology to help children learn?
Do you agree or disagree that computers will replace teachers one day?",Technology and Society,"How much has technology improved the way we communicate with each other?
Do you agree that there are still many major technological innovations to be made?
Could you suggest some reasons why some people are deciding to reduce their use of technology?",7,7,6,7
Band 6,Food,"What kind of food do you like to eat and why?
What sorts of new food would you like to try and why?
Do you cook for yourself?
Do you prefer eating at home or at restaurant?
What type of restaurants do you like?",Friends,"What do you like to do with your friends and why?
Have you kept in contact with friends you had as a child and why?
How do you usually communicate with your friends?
What do you think a good friend is?",-,-,Describe a hobby you enjoy doing,Hobbies and Interests,"Do you think having a hobby is a benefit for peoples' social lives?
Are there any disadvantages of spending too much time doing a hobby?
Why do you think it's important to have a hobby and why?",Leisure Time,"In your country, do people have a lot of leisure time?
Do you think people in your country have good work life balance and why?
Do you think people have more free time in your country now compared to the past?
Do you think people will have more or less free time in the future?",6,7,5,6
Band 5,Books,"Do you like reading books?
What kind of books do you like and why?
Are there any books you have been reading recently?
What kind of books do you think are popular these days?",Advertising,"Do you like watching advertisements?
Would you ever buy something after watching an advertisement?
How often would you buy something after watching an advertisement?
How do you feel when you see pop-up advertisings on the internet?
Are there any advertisements that you like?",-,-,"Describe an environmental problem or event.

You should say:

what it is
where it is happening
what problems it causes
what is being done to solve the problem",Problems with the environment,"What are some other problems in the environment in your country?
How can we be careful about other viruses?
How can people protect the environment?
Do you think things like national parks are a good way to protect the environment?
What do you think we can do to help the problem of water polution?",-,-,5,5,4.5,5.5
Band 3.5,Home,"Where is your home?
What changes would you like to bring in your home?
Do you plan to live in the same house in the future?",Street markets and shops,"Are street markets commonly seen around in your country?
Do people in your country freely go to open air markets?
What benefits do street markets have over single retail shops?",Voice,"Can you recognize the voices of people you know over phone calls?
Have you tried noticing a bird's voice?
Do scary voices in movies make you fearful?","""Describe a time you were at a farm or farmland or met a farmer.

You should say:

When it was
Where it was
What you did/what was there at the farm
and explain how you felt being there.""",Farm,"Are the number of farmlands across the globe declining?
Why do you think this is/is not happening?
What are the other advantages of having a large farmlands?
Do you think that farmers and agricultural workers should be given more facilities by the government?
How can we improve the skill of farmers in a region?",-,-,3,3,3,4
Band 1.5,Friends,"Do you have a lot of friends?
Who is your best friend and why?
Who would you most likely be friends with and why?
What kind of person can you make friends with easily?
Which one is more important to you, friends or family?",Home,"Who do you live with?
What is your favorite room in your home?
How is your home decorated?
Do you like visitors coming to your home?",-,-,Describe your favorite teacher from school,Education,"How are education priorities today different from those in the past?
What is your opinion on the way languages are taught in school? 
How can the type of school you go to affect career success?
What changes do you think will happen in a classroom in the near future?",-,-,1,1,1,2
Band 7_2,Studying Languages,"How long have you been studying English?
Why are you studying English?
What advice would you give to others who are studying a new language?
Which aspects of learning English do you enjoy the most?",Entertainment,"What do you like doing in your spare time?
What kinds of films do you like to watch?
Who are you favorite singers?
Do you think entertainment is important?",-,-,Describe about one big decision you have to make in your life,Different types of memories,"Do you think most people remember happy or unhappy memories?
In your opinion, is it important to remember past world events?
Why do you think people like to talk about their memories?
Do you think its a good thing that many memories today are permanently recorded in the social media?
Are there any other important historical events that are remembered in your country?
What do you have to remember this time and how is it celebrated in your country today?",-,-,7,7,7,7
Band 7_3,Education,"What is the education like in your country?
What kind of school did you go to school as a child?
What was your favorite subject as a child?",Travelling,"Do you like to travel and why?
What kinds of places do you like to visit?
What is the best place you have ever visited?",-,-,Describe a memory that is particularly significant to you,Usage of internet,"Which websites are popular among your generation? and why?
How has the internet change the social behavior?
Should companies check job applicants online profiles?
What sort of public profile do you think public companies can use?",Successful people,"How do you define success?
Do you think people from your country view success the same?
What personal characteristics that you think most successful people need to have?",7,7,7,7
Band 6_2,Hometown,"What type of place is your hometown?
What was it like growing up there?
Has it changed much since you were a child?",Cooking and meals,"Do you enjoy cooking? why?
What kinds of food are popular in your home country?
Is it an important part of your culture to have a dinner party? why?",-,-,Describe a person who had an important influence on you,Leisure activities,"What type of leisure activies that is popular in your country?
What types of karaoke do people enjoy?
Why is it important for people to have time for leisure activities?
Do people do other things aside from that?
Are these types of leisure activities that are popular in your home country nowadays, the same as the leisure activities that were popular when your parents were young? are there any differences?
What types of leisure activities do you think will become more popular in the future?",Sports,"Which sports are popular in Japan? Why is that?
What do you think of the benefits at playing sports?
Are team building activities very popular? What kind of people do team building activities?
How can sports bring people from different countries or backgrounds to come together?
What sort of sports does Japan have that other people on another country plays?",6,6,6,6
Band 6_3,Learning a language,"How did you learn the languages that you know?
Why do people learn more than one language?
Do you think that all childrens should be taught foreign languages at school?",Media,"Do you read any newspapers or magazines?
What kind of articles do you find the most interesting?
How about advertising? Do you enjoy watching advertisings in TV?",-,-,Describe a website that you often use,Safety Online,"What are some of the dangers associated with using the internet?
Do you think children and young people are more likely to be more vulnerable to these dangers? 
Do you think parents can do something to protect their childrens from threats?
Do you think children should not be allowed to use internet?
Do you think there is more to expect from the internet, or do you feel its reached its full potential?",-,-,5,7,6,6
Band 5.5,Work,"What do you do?
What do you enjoy the most about your work?
Do you think you will work in this career for a long time? Why?",Advertising,"Do you ever watch advertisements on television? Why?
has seeing an advertisement on the internet ever made you want to buy it? Why?
Do you think that advertisement on billboard made the city look better?
What are the best places for companies to advertise their products/services?",Shops,"What kinds of shops are there near where you live?
What kind of shops do you usually visit?
Do you think the location of the shop is important to a success?",Describe a festival in your country,Cultural Identity,"What things make a person's cultural identity?
You mention some of the factors that can determine the cultural identity of a person. Which of these do you think the most important?
Why does some culture not survive?
Some people say some cultures will die because of globalization. What do you say?",Citizenship,"What things make a good citizen these days?
Is being a good citizen the same in every country? Why?
Why might some people wish to be citizens of other country?",6,5,6,5
Band 4,Family,"Do you have a large extended family?
What do you do together with your family?
Why is family important to you?",Websites,"What kinds of websites do you often visit?
What is your favorite website?
How can some websites help you study?",Photography,"Do you like taking photos?
Do you want to improve your photography skills?
Do you prefer to take pictures with your phone or your camera?",Talk about a situation where you have to lie to your friends,Lie,"When is it acceptable to lie?
What do you think about the fact that everybody has lied at least once?
Do you think we can lie to our friends and family?
Do you find it acceptable to lie about your feelings to someone because you don't want to hurt them?
Has anybody ever lied to you about their real identities?",-,-,4,4,4,4
Band 9,Place you live in,"Where do you live in your country?
Is it an interesting place to live?
Would you live there in the future",Hobbies and interests,"What hobbies and interests are popular in your country?
Which hobbies and interests do you enjoy?
What hobbies and interests did you have as a child?
Do you think parents should encourage their children to have a hobby or interest?",Weather,"Do you prefer hot weather or cold?
Which time of year did you enjoy the most as a child?
Has the weather changed much in your country in recent years?","""Describe a gift or a present that someone gave you recently.

You should say

what the occasion was
who gave it to you
what it looked like
and explain how you felt about receiving it.""",Attitudes to gift,"Can you tell me something about how people feel when they receive a homemade gift and when they receive a shop-bought gift?
Do you think children gain more pleasure receiving gifts than adults do?
Do you think that more people get more pleasure giving or receiving gifts?",Commercial aspect of gifting,"How much do advertisement influence people when they buy gifts?
Do you think that some festivals have become commercialized as the result on the emphasis of buying gifts?",9,9,9,9
Band 9_2,Place you live in,"Tell me about the street where you live
What are the public transports services near your street bike?
Would you like to live on the street for a very long time?",School trips,"What was your favorite school trip when you were a child?
What makes it a good school trip?
Did you take the same kinds of school trips as your parents?
Have any types of school trips become more popular these days?",Fashion,"Do you consider yourself to be a fashionable person?
Is being trendy important in your country?
Are the most popular people in life the most fashionable?
Is it easy to be fashionable without spending a lot of money?",Describe a time where you forgot to do something important.,Technologies,"In what way, has technology changed the forgetfulness of people in society?
Is it always a good thing?
What technological advances might help to fight against forgetfulness in the future?",Forgetfulness,"Some people say, the older you are, the easier it is to forget something. What do you think?
Thinking about younger children now, why might they not be as forgetful?
Speaking of teenagers, do you think it is more likely that teenagers in a city, would be more forgetful than teenagers in the countryside?",9,9,9,8
Band 9_3,Place you live in,"Tell me about the town or city where you're living at the moment
How long have you been living in this city?
Do you think you will move in a different place in the near future?",Numbers,"What kinds of numbers do you have to remember in your daily life?
Do you find it easy to remember numbers?
Was maths one of your favorite subjects at school?
Is it important to be good at dealing with numbers in your work or studies?",Cycling,"When did you learn to ride a bike?
Is riding a bike popular in your country, and why?
How easy is it to cycle around the town or the city you are living right now?
Would you like to go on a cycling holiday in the future?",Describe something you enjoy making by hand when you were a child,Traditional Handmade Items,"What are the most popular handmade items are in your country?
Why do you think people enjoy making handmade things?
Why do you think people like to buy handmade items?
How important is it for people to keep making traditional handmade things these days?",Manufactured Goods,"What are the benefits of factory made manufactured goods compared to handmade goods?
Do you think that its a good thing that robots are being used more and more now to produce manufactured goods?
Do you think that perhaps even if they lose their jobs, there might be other kinds of job that could be created?
Could you see a future where perhaps all manufactured goods would be made by factory robots?",9,9,8,9
Band 9_4,Study,"What are you studying currently? Why did you choose that course?
Do you think you will remain friends with the people from your course in the future?
",Favorite Place,"What is the place that you most like to visit? Why did you like it?
How often do you go there? Is it easy to travel there?
Is it a popular place for other people to visit?",Daily routine,"Tell me about a typical week day for you
Do you work or study better in the morning or in the afternoon?
What would you like to change in your daily routine?
Is there a balance within your work time and your leisure time in your routine?",Talk about a meal that you had that you enjoy,Children and Food,"What's the best day for child to learn to cook and why?
Who's responsiblity is it in your view to teach children to eat healthily?
Do you think children will eat more healthily in the future?
",Eating habits,"Does food play an important role in your culture?
Would you say people in your country have a healthy diet these days, or did people eat more healthily in the past?
Do you think its important for a family to sit together to eat a meal in the evening?",9,9,8,9
Band 8,Yourself,"What interesting places have you visited?
Why were they interesting?
What country would you most like to visit and why?
Do you prefer the countryside or the city?",Food,"What kind of food do you prefer?
What kinds of food are popular in your country?
What is the most important thing for you when you go to a restaurant?",-,-,"""Part 2

Describe an adventure you would like to go on.

You should say:

What it is?
Who you would take with you?
What skills/abilities/equipment you might need?
Why this adventure appeals to you?""",People and exploring,"What kinds of personality traits make people more adventurous?
Thinking more generally about exploring the planet, do you think all exploration is valuable?
Do you think it's worth spending money on space exploration?",-,-,8,7,8,8
